"Cursos","Total Repitencias"
"PSICOLOGÍA ECONÓMICA","1"
"PSICOLOGIA EDUCATIVA","1"
"PSICOLOGÍA EDUCATIVA","2"
"PSICOLOGIA EVOLUTIVA I","3"
"PSICOLOGIA EVOLUTIVA II","5"
"PSICOLOGIA EXPERIMENTAL","4"
"PSICOLOGIA GENERAL","5"
"PSICOLOGÍA INDIVIDUAL Y SOCIAL","30"
"PSICOLOGIA INDUSTRIAL","2"
"PSICOLOGÍA ORGANIZACIONAL","6"
"PSICOLOGÍA POLITICA","6"
"PSICOLOGÍA SOCIAL","3"
"PSICOLOGIA SOCIAL - COMUNITARIA","2"
"PSICOLOGIA TRASCUL TURAL","8"
"PSICOLOGÍA Y MANEJO DE CONFLICTOS","1"
"PSICOLOGÍA Y SALUD OCUPACIONAL","3"
"PSICOLOGÍA, MOTRICIDAD Y APRENDIZAJE MOTOR","9"
"PSICOMETRIA","1"
"PSICOMETRÍA Y CONSTRUCCIÓN DE PRUEBAS","1"
"PSÍCOMOTRICIDAD Y JUEGOS INFANTILES","1"
"PSICONEUROINMUNOLOGIA","4"
"PSICOPATOLOGIA","4"
"PSICOPROFILAXIS OBSTÉTRICA Y ESTIMULACIÓN PRENATAL","6"
"PSICOTERAPIA DE LA PAREJA Y DE LA FAMILIA","1"
"PSICOTERAPIA DEL NIÑO Y DEL ADOLESCENTE","1"
"PUBLIC RELATIONS AND PROTOCOL","5"
"PUBLICIDAD","1"
"PUBLICIDAD Y PROMOCIÓN","4"
"PUBLICIDAD Y PROPAGANDA","4"
"QUECHUA","35"
"QUECHUA I","32"
"QUECHUA II","4"
"QUECHUA MÉDICA","2"
"QUIMICA  MEDICINAL II","1"
"QUÍMICA AGROINDUSTRIAL","3"
"QUIMICA AMBIENTAL","1"
"QUIMICA ANALITICA","4"
"QUÍMICA ANALÍTICA","11"
"QUIMICA ANALITICA CUALITATIVA","1"
"QUIMICA ANALITICA CUANTITATIVA","2"
"QUIMICA ANALITICA INSTRUMENTAL","25"
"QUÍMICA ANALÍTICA INSTRUMENTAL","3"
"QUÍMICA APLICADA A LA CONSERVACIÓN Y RESTAURACIÓN I","7"
"QUÍMICA APLICADA A LA GEOGRAFÍA","6"
"QUÍMICA COLOIDAL Y FISICOQUÍMICA DE INTERFASES","1"
"QUÍMICA DE LOS ALIMENTOS","1"
"QUIMICA FARMACEUTICA I","12"
"QUÍMICA FARMACÉUTICA I","1"
"QUIMICA FARMACEUTICA II","15"
"QUÍMICA FARMACÉUTICA II","5"
"QUIMICA GENERAL","2"
"QUÍMICA GENERAL","110"
"QUÍMICA INORGÁNICA","2"
"QUIMICA INORGANICA AIII","1"
"QUÍMICA INORGÁNICA I","41"
"QUÍMICA INORGÁNICA II","3"
"QUÍMICA INORGÁNICA III","1"
"QUÍMICA INORGÁNICA Y CUALITATIVA","13"
"QUÍMICA INORGÁNICA Y ORGÁNICA","101"
"QUÍMICA INTEGRADA","3"
"QUIMICA ORGANICA","4"
"QUÍMICA ORGÁNICA","27"
"QUIMICA ORGANICA AIII","1"
"QUIMICA ORGANICA AIV","4"
"QUIMICA ORGANICA I","4"
"QUÍMICA ORGÁNICA I","31"
"QUIMICA ORGANICA II","19"
"QUÍMICA ORGÁNICA II","5"
"QUIMICA ORGANICA III","1"
"QUÍMICA ORGÁNICA III","5"
"RADIACIONES IONIZANTES Y PROTECCIÓN RADIOLÓGICA","1"
"RADIOLOGIA BASADA EN EVIDENCIAS","1"
"RADIOLOGIA VETERINARIA","3"
"RADIOPROPAGACIÓN","1"
"RADIOTERAPIA","1"
"RAZONAMIENTO JURÍDICO","25"
"RCP AVANZADO","2"
"REALIDAD NACIONAL","6"
"REALIDAD NACIONAL ACTUAL","10"
"REALIDAD NACIONAL Y GLOBALIZACIÓN","162"
"REALIDAD NACIONAL Y MUNDIAL","195"
"REALIDAD PERUANA","1"
"RECOMBINACIÓN GENÉTICA Y ENFERMED. HEREDITARIAS","1"
"RECREACIÓN I","5"
"RECREACION Y DEPORTES ESPECIALES","1"
"RECURSOS DE INFORMACIÓN I","1"
"RECURSOS HIDROBIOLÓGICOS","16"
"RECURSOS TERAPÉUTICOS PARA EL DESEMPEÑO SENSORIOMOTRIZ","1"
"REDACCION BASICA","1"
"REDACCIÓN BÁSICA","3"
"REDACCION CIENTIFICA","3"
"REDACCIÓN CIENTÍFICA Y PUBLICACIONES ACADÉMICAS","1"
"REDACCION DE INFORMES EN EL AREA CLINICA","1"
"REDACCION DE INFORMES EN EL AREA SOCIAL","1"
"REDACCIÓN PERIODÍSTICA","2"
"REDACCION SUPERIOR","1"
"REDACCÍON Y METODOLOGÍA CIENTÍFICA","3"
"REDACCION Y TECNICAS DE COMUNICACION EFECTIVA","1"
"REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA I","85"
"REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA II","75"
"REDES DE BANDA ANCHA","3"
"REDES DE COMPUTADORAS","2"
"REDES DE COMPUTADORAS I","16"
"REDES DE DATOS I","2"
"REDES DE DATOS II","1"
"REDES DE OPTIMIZACION","1"
"REDES INALAMBRICAS Y MÓVILES","3"
"REDES NEURONALES","2"
"REDES Y TRANSMISIÓN DE DATOS","11"
"REDES, TRANSMISIÓN Y AUTOMATIZACIÓN Y CONTROL","14"
"REESTRUCTURACIÓN, MEJORAMIENTO Y CAMBIO EMPRESARIAL","15"
"REGISTRO AUDIOVISUAL Y MANEJO TECNOLÓGICO","1"
"REGULACIÓN DE TELECOMUNICACIONES","1"
"REGULACIÓN DE TELECOMUNICACIONES E INFRAESTRUCTURA","2"
"REGULACIÓN Y COMPETENCIA","2"
"RELACIONES COMUNITARIAS Y DESARROLLO SOSTENIBLE","1"
"RELACIONES INTERNACIONALES","1"
"RELACIONES PÚBLICAS Y PROTOCOLO","2"
"REMEDIACIÓN DE SUELOS","1"
"RESISTENCIA DE MATERIALES","21"
"RESISTENCIA DE MATERIALES I","2"
"RESISTENCIA DE MATERIALES II","2"
"RESPONSABILIDAD SOCIAL EN EL ÁMBITO GEOLÓGICO","1"
"RESPONSABILIDAD SOCIAL EN EL TRABAJO","1"
"RESPONSABILIDAD SOCIAL UNIVERSITARIA","25"
"RETORICA Y ESTILISTICA LITERARIA","11"
"RÍTMICA : POESÍA","4"
"RÍTMICA: NARRATIVA","2"
"ROBOTICA","1"
"ROBÓTICA","2"
"SALUD AMBIENTAL","1"
"SALUD FAMILIAR Y OBSTETRICIA COMUNITARIA I - EDUCACIÓN PARA LA SALUD","3"
"SALUD FAMILIAR Y OBSTETRICIA COMUNITARIA II","2"
"SALUD MATERNO INFANTIL Y DEL ADOLESCENTE","1"
"SALUD MENTAL","1"
"SALUD OCUPACIONAL Y ERGONOMÍA","1"
"SALUD PÚBLICA","1"
"SALUD REPRODUCTIVA Y PLANIFICACIÓN FAMILIAR","1"
"SALUD SEXUAL Y REPRODUCTIVA DE LA MUJER Y ADOLESCENTE","1"
"SALUD Y SANEAMIENTO AMBIENTAL","4"
"SALUD Y SEGURIDAD OCUPACIONAL","1"
"SANEAMIENTO  BASICO","2"
"SEDIMENTOLOGÍA","5"
"SEGURIDAD ALIMENTARIA Y AMBIENTE","2"
"SEGURIDAD DEL SOFTWARE","3"
"SEGURIDAD E HIGIENE MINERO METALÚRGICA","1"
"SEGURIDAD ELECTRÓNICA E INFORMÁTICA","6"
"SEGURIDAD EN EL TRABAJO","5"
"SEGURIDAD INFORMÁTICA","4"
"SEGURIDAD Y SALUD OCUPACIONAL","3"
"SELECCIÓN Y CONTRATACIÓN DE PERSONAL","2"
"SEMANTICA I","2"
"SEMANTICA II","2"
"SEMINARIO CIRCULO DE VIENA","7"
"SEMINARIO DE ARISTÓTELES","19"
"SEMINARIO DE ARQUEOLOGÍA I","2"
"SEMINARIO DE ARQUEOLOGÍA II","4"
"SEMINARIO DE ARTE II","3"
"SEMINARIO DE ARTE III","3"
"SEMINARIO DE ARTE PERUANO I","1"
"SEMINARIO DE CONSERVACIÓN Y ARQUEOLOGÍA","4"
"SEMINARIO DE CRISTIANISMO PRIMITIVO","6"
"SEMINARIO DE DERECHO ADMINISTRATIVO","1"
"SEMINARIO DE DERECHO CIVIL Y PROCESAL CIVIL","2"
"SEMINARIO DE DERECHO CONSTITUCIONAL Y PROCESAL CONSTITUCIONAL","7"
"SEMINARIO DE DERECHO LABORAL Y PROCESAL LABORAL","5"
"SEMINARIO DE DERECHO PENAL Y PROCESAL PENAL","3"
"SEMINARIO DE DESCARTES","4"
"SEMINARIO DE ELABORACIÓN DE PROPUESTA DE INVESTIGACIÓN","1"
"SEMINARIO DE EPISTEMOLOGIA","2"
"SEMINARIO DE ESPECIALIDAD I","1"
"SEMINARIO DE ESPECIALIDAD III","8"
"SEMINARIO DE ESTRUCTURALISMO","3"
"SEMINARIO DE ÉTICA","1"
"SEMINARIO DE ETNOGRAFÍA ANDINO-AMAZÓNICA","1"
"SEMINARIO DE ETNOHISTORIA","3"
"SEMINARIO DE ETNOHISTORIA ANDINA","2"
"SEMINARIO DE FENOMENOLOGÍA","6"
"SEMINARIO DE FILOSOFÍA ANALÍTICA","1"
"SEMINARIO DE FILOSOFIA EN EL SIGLO XX-I (FENOMENOLOGIA Y EXISTENCIALISMO)","4"
"SEMINARIO DE FILOSOFIA EN EL SIGLO XX-III (WITTGENSTEIN O FILOSOFIA ANALITICA)","2"
"SEMINARIO DE FILOSOFÍA HELENÍSTICA","2"
"SEMINARIO DE FILOSOFIA LATINOAMERICANA","3"
"SEMINARIO DE FILOSOFIA POLITICA","1"
"SEMINARIO DE FILOSOFÍA PRESOCRÁTICA","4"
"SEMINARIO DE FILOSOFIA Y ECOLOGIA","2"
"SEMINARIO DE FINANZAS","2"
"SEMINARIO DE FUENTES E INVESTIGACIÓN COLONIALES","9"
"SEMINARIO DE FUENTES E INVESTIGACIÓN PREHISPÁNICAS","6"
"SEMINARIO DE FUENTES E INVESTIGACIÓN REPUBLICANAS","3"
"SEMINARIO DE HEGEL","3"
"SEMINARIO DE HERMENÉUTICA","4"
"SEMINARIO DE HISTORIA ANDINA","1"
"SEMINARIO DE HISTORIA DE ASIA Y ÁFRICA","3"
"SEMINARIO DE HISTORIA DE CIENCIA Y TECNOLOGÍA","1"
"SEMINARIO DE HISTORIA DE LAS MENTALIDADES","4"
"SEMINARIO DE HISTORIA DE LAS RELIGIONES","1"
"SEMINARIO DE HISTORIA DEL ARTE","1"
"SEMINARIO DE HISTORIA DEMOGRÁFICA","1"
"SEMINARIO DE HISTORIA ECOLÓGICA","1"
"SEMINARIO DE HISTORIA ECONÓMICA","1"
"SEMINARIO DE HISTORIA POLÍTICA","5"
"SEMINARIO DE HISTORIA REGIONAL","3"
"SEMINARIO DE HISTORIA SOCIAL","3"
"SEMINARIO DE HISTORIA Y GÉNERO","1"
"SEMINARIO DE HISTORIA Y LITERATURA","4"
"SEMINARIO DE HISTORIOGRAFÍA","6"
"SEMINARIO DE IMPUESTOS DIRECTOS","5"
"SEMINARIO DE IMPUESTOS INDIRECTOS","2"
"SEMINARIO DE INVESTIGACIÓN AVANZADA A","1"
"SEMINARIO DE INVESTIGACIÓN EN CIENCIAS DE LA INFORMACIÓN I","10"
"SEMINARIO DE INVESTIGACIÓN EN CIENCIAS DE LA INFORMACIÓN II","6"
"SEMINARIO DE INVESTIGACIÓN EN CONSERVACIÓN Y RESTAURACIÓN ARQUITECTÓNICA","2"
"SEMINARIO DE INVESTIGACIÓN HISTÓRICA I","1"
"SEMINARIO DE INVESTIGACIÓN HISTÓRICA II","3"
"SEMINARIO DE INVESTIGACIÓN HISTÓRICA III","3"
"SEMINARIO DE INVESTIGACIÓN HISTÓRICA IV","5"
"SEMINARIO DE INVESTIGACIÓN HISTÓRICA V","8"
"SEMINARIO DE INVESTIGACIÓN HISTÓRICA VI","5"
"SEMINARIO DE INVESTIGACIÓN II","3"
"SEMINARIO DE INVESTIGACIÓN III","1"
"SEMINARIO DE JOSÉ CARLOS MARIÁTEGUI","2"
"SEMINARIO DE KANT","4"
"SEMINARIO DE LA FILOSOFIA EN EL PERU","1"
"SEMINARIO DE LA HISTORIA DE ASIA Y ÁFRICA","2"
"SEMINARIO DE LA REALIDAD BIBLIOTECOLOGICA","3"
"SEMINARIO DE LA REALIDAD PERUANA","2"
"SEMINARIO DE LINGÜÍSTICA ANDINO-AMAZÓNICA","7"
"SEMINARIO DE LITERATURA HISPANOAMERICANA","3"
"SEMINARIO DE LITERATURA PERUANA","5"
"SEMINARIO DE LITERATURA QUECHUA Y AIMARA","2"
"SEMINARIO DE LITERATURA QUECHUA Y ORALES DEL PERU","1"
"SEMINARIO DE MARX","3"
"SEMINARIO DE MARXISMO","2"
"SEMINARIO DE METODOLOGÍA DE INVESTIGACIÓN EN CIENCIAS VETERINARIAS","3"
"SEMINARIO DE NORMAS DE INFORMACIÓN FINANCIERA","3"
"SEMINARIO DE NORMAS INTERNACIONALES DE INFORMACIÓN FINANCIERA","1"
"SEMINARIO DE PLATÓN","8"
"SEMINARIO DE POSTMODERNISMO","3"
"SEMINARIO DE PROBLEMÁTICA SOCIAL EN EL PERÚ","2"
"SEMINARIO DE RACIONALISMO","2"
"SEMINARIO DE TEORIA LITERARIA","3"
"SEMINARIO DE TEORIA POLÍTICA","2"
"SEMINARIO DE TESIS","22"
"SEMINARIO DE TESIS  I","1"
"SEMINARIO DE TESIS 1","1"
"SEMINARIO DE TESIS 2","2"
"SEMINARIO DE TESIS EN BOTÁNICA","5"
"SEMINARIO DE TESIS EN HIDROBIOLOGÍA Y PESQUERÍA","2"
"SEMINARIO DE TESIS I","83"
"SEMINARIO DE TESIS I (0003)","1"
"SEMINARIO DE TESIS I (0004)","5"
"SEMINARIO DE TESIS I (0005)","5"
"SEMINARIO DE TESIS II","54"
"SEMINARIO DE TESIS II (0003)","4"
"SEMINARIO DE TESIS II (0004)","8"
"SEMINARIO DE TESIS II (0005)","4"
"SEMINARIO DE TESIS II/PROYECTO 2 (0004)","1"
"SEMINARIO DE TOMÁS DE AQUINO","8"
"SEMINARIO DE WITTGENSTEIN","1"
"SEMINARIO DEL ARTE PERUANO II","6"
"SEMINARIO I","8"
"SEMINARIO II","11"
"SEMINARIO MONOGRAFICO I - LITERATURA ANDINA","1"
"SEMINARIO NIC Y NIF CON INCIDENCIA TRIBUTARIA","2"
"SEMINARIO SOBRE DERECHO DE PROPIEDAD Y GARANTÍAS REALES","13"
"SEMINARIO SOBRE RURALIDAD EN EL PERÚ","2"
"SEMINARIO TALLER DE NORMAS INTERNACIONALES DE AUDITORÍA","7"
"SEMINARIO TALLER SOBRE POLÍTICAS PÚBLICAS PARA LA PROMOCIÓN DE LA INFANCIA","4"
"SEMIOLOGIA","7"
"SEMIOLOGIA ESTOMATOLOGICA","1"
"SEMIOLOGÍA GENERAL E INTERPRETACIÓN DE EXÁMENES DE AYUDA DIAGNÓSTICA.","3"
"SEMIOLOGÍA RADIOLÓGICA I","1"
"SEMIOLOGÍA VETERINARIA","2"
"SEMIOTECNIA VETERINARIA","18"
"SEMIÓTICA","7"
"SEMIÓTICA GENERAL","5"
"SEMIOTICA LITERARIA","6"
"SENSORES Y ACTUADORES BIOMÉDICOS","4"
"SENSORES Y ACTUADORES INDUSTRIALES","3"
"SENSORES Y TRANSDUCTORES APLICADOS A BIOMÉDICA","1"
"SEÑALES Y SISTEMAS","10"
"SERIES CRONOLOGICAS","11"
"SERIES Y ECUACIONES DIFERENCIALES","17"
"SERIGRAFÍA Y ESTAMPADO","3"
"SERVICIOS AUXILIARES E INSTALACIONES MINERAS","7"
"SERVICIOS DE TELECOMUNICACIONES II","4"
"SERVICIOS EN UNIDADES DE INFORMACIÓN I","2"
"SERVICIOS EN UNIDADES DE INFORMACIÓN II","2"
"SERVICIOS POR INTERNET","1"
"SICOLINGÜÍSTICA","4"
"SIMBOLISMO RITUAL","3"
"SIMBOLISMO Y RITUAL","21"
"SIMILITUD Y MODELOS FÍSICOS","1"
"SIMULACIÓN DE NEGOCIOS","1"
"SIMULACION DE SISTEMAS","2"
"SIMULACIÓN DE SISTEMAS","1"
"SINTAXIS I","4"
"SINTAXIS II","3"
"SINTESIS INORGANICA","4"
"SINTESIS Y ANALISIS DE PROCESOS","7"
"SISTEMA DE CONTROL   I","1"
"SISTEMA DE CONTROL I","1"
"SISTEMA DE CONTROL II","7"
"SISTEMA DE INFORMACIÓN CONTABLE","3"
"SISTEMA DE INFORMACIÓN GEOGRÁFICA","6"
"SISTEMA DE PRODUCCIÓN AGRÍCOLA","2"
"SISTEMA DE PRODUCCION Y MERCADOTECNIA","1"
"SISTEMA INTERAMERICANO DE DERECHOS HUMANOS","2"
"SISTEMA NACIONAL DE CONTROL","7"
"SISTEMAS  DE COMUNICACIONES ÓPTICAS","4"
"SISTEMAS ADMINISTRATIVOS DEL SECTOR PÚBLICO","3"
"SISTEMAS DE ACCIONAMIENTO ELECTRICO","1"
"SISTEMAS DE COMUNICACION DIGITAL","1"
"SISTEMAS DE CONTROL   I","6"
"SISTEMAS DE CONTROL DIGITAL","1"
"SISTEMAS DE CONTROL II","31"
"SISTEMAS DE GESTION DE CALIDAD","1"
"SISTEMAS DE GESTIÓN DE CALIDAD","2"
"SISTEMAS DE GESTION TRIBUTARIA","4"
"SISTEMAS DE INFORMACION CONTABLE","24"
"SISTEMAS DE INFORMACIÓN CONTABLE","9"
"SISTEMAS DE INFORMACIÓN GEOGRAFICA","2"
"SISTEMAS DE INFORMACION GERENCIAL","2"
"SISTEMAS DE INFORMACIÓN GERENCIAL","1"
"SISTEMAS DE RADIOCOMUNICACIONES I","2"
"SISTEMAS DE RADIOCOMUNICACIONES II","5"
"SISTEMAS DE TELECOMUNICACIONES","3"
"SISTEMAS DIGITALES","77"
"SISTEMAS DISTRIBUIDOS","31"
"SISTEMAS ECONOMICOS","3"
"SISTEMAS ELECTORALES","3"
"SISTEMAS ELECTORALES Y REPRESENTACIÓN POLÍTICA","3"
"SISTEMAS INTELIGENTES","35"
"SISTEMAS OPERATIVOS","20"
"SISTEMAS POLITICOS COMPARADOS","2"
"SISTEMAS Y MOVIMIENTOS RELIGIOSOS","8"
"SISTEMAS Y SERVICIOS DE RADIODIFUSIÓN","4"
"SISTEMAS Y TECNOLOGIAS DE INFORMACION","79"
"SISTEMÁTICA GENERAL","7"
"SISTEMÁTICA Y EVOLUCIÓN","1"
"SOCIALIZACIÓN E INTERSUBJETIVIDAD","4"
"SOCIEDAD COMPLEJAS","1"
"SOCIEDAD, DIVERSIDAD CULTURAL Y CAMBIO SOCIAL EN EL PERÚ","2"
"SOCIEDADES CAMPESINAS","10"
"SOCIEDADES CAMPESINAS Y RURALIDAD","5"
"SOCIOLINGÜÍSTICA I","4"
"SOCIOLOGÍA","1"
"SOCIOLOGÍA APLICADA","1"
"SOCIOLOGÍA DE GÉNERO","7"
"SOCIOLOGÍA DE LA ACTIVIDAD FÍSICA Y EL DEPORTE","4"
"SOCIOLOGÍA DE LA CULTURA Y LA INTERCULTURALIDAD","9"
"SOCIOLOGÍA DE LA EDUCACIÓN","1"
"SOCIOLOGIA DE LA LITERATURA","11"
"SOCIOLOGÍA DE LAS ORGANIZACIONES Y SU ENTORNO","5"
"SOCIOLOGÍA DEL DERECHO","26"
"SOCIOLOGÍA DEL DESARROLLO","2"
"SOCIOLOGÍA DEL TERRITORIO","5"
"SOCIOLOGÍA DEL TRABAJO","4"
"SOCIOLOGÍA ECONOMICA","4"
"SOCIOLOGÍA ECONÓMICA","2"
"SOCIOLOGÍA GENERAL","2"
"SOCIOLOGÍA HISTÓRICA","6"
"SOCIOLOGÍA PERUANA Y LATINOAMERICANA","9"
"SOCIOLOGÍA POLÍTICA","11"
"SOCIOLOGÍA RURAL","3"
"SOCIOLOGÍA URBANA","5"
"SOCIOLOGÍA Y ANTROPOLOGÍA MÉDICA","2"
"SOCIOLOGÍA Y GÉNERO","8"
"SOFTWARE INTELIGENTE","1"
"SOFTWARE MINERO I","6"
"SOFTWARE MINERO II","7"
"SOSTENIBILIDAD AMBIENTAL","2"
"SUPERVISION Y LIQUIDACION DE OBRAS","2"
"T. I ARTÍSTICO CULTURAL : EXPRESIÓN ORAL","1"
"T. I DEPORTIVO RECREATIVO : AERÓBICOS","1"
"T. I DEPORTIVO RECREATIVO : ATLETISMO","3"
"T. I DEPORTIVO RECREATIVO : GIMNASIA DEPORTIVA","1"
"T. I DEPORTIVO RECREATIVO : HALTEROFILIA","3"
"T. I DEPORTIVO RECREATIVO : NATACIÓN","2"
"T. I DEPORTIVO RECREATIVO : TENIS DE MESA","2"
"T. I PEDAGÓGICO SOCIAL : CONSTRUCCIÓN DE MATERIAL DIDÁCTICO","3"
"T. I PEDAGÓGICO SOCIAL : JUEGOS Y RONDAS INFANTILES","2"
"T. II DEPORTIVO RECREATIVO : BÁSQUETBOL","4"
"T. II DEPORTIVO RECREATIVO : FÚTBOL","1"
"T. II DEPORTIVO RECREATIVO : GESTIÓN DEPORTIVA","1"
"T. II DEPORTIVO RECREATIVO : JUDO","3"
"T. II DEPORTIVO RECREATIVO : KUNG FU","4"
"T. II DEPORTIVO RECREATIVO : NADO SINCRONIZADO","2"
"T. II DEPORTIVO RECREATIVO : PREPARACIÓN FÍSICA","3"
"T. II DEPORTIVO RECREATIVO : VOLEIBOL","1"
"TALLER (ELECTIVO)","11"
"TALLER BANCO DE IMÁGENES DE ARTE PERUANO","1"
"TALLER BIBLIOTECA DE ARTE","2"
"TALLER CENTRO DE INFORMACIÓN Y DOCUMENTACIÓN DE ARTE PERUANO","2"
"TALLER DE ANIMACIÓN","1"
"TALLER DE APLICACIONES DISTRIBUIDAS","4"
"TALLER DE ARQUEOASTRONOMÍA","2"
"TALLER DE ARQUITECTURA Y URBANISMO","1"
"TALLER DE CONSTRUCCIÓN DE SISTEMAS","6"
"TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB","2"
"TALLER DE CREATIVIDAD LITERARIA","2"
"TALLER DE CRITICA LITERARIA I","2"
"TALLER DE CRITICA LITERARIA II","1"
"TALLER DE CURADURÍA","3"
"TALLER DE DANZA","3"
"TALLER DE DESARROLLO DE LA INTELIGENCIA EMOCIONAL","2"
"TALLER DE DESARROLLO DE PRODUCTOS DE EXPORTACIÓN","4"
"TALLER DE DESARROLLO REGIONAL Y DESCENTRALIZACIÓN","5"
"TALLER DE DIRECCIÓN DE ACTORES","2"
"TALLER DE DISEÑO GRÁFICO","1"
"TALLER DE DISEÑO GRÁFICO Y FOTOGRAFÍA ARQUEOLÓGICA","5"
"TALLER DE DOCUMENTAL","2"
"TALLER DE EDICIÓN DE VIDEOS","5"
"TALLER DE EDICIONES CRITICAS","4"
"TALLER DE ELECTRICIDAD Y ELECTRONICA","44"
"TALLER DE EMPRENDIMIENTO Y BIONEGOCIOS","3"
"TALLER DE ENSEÑANZA DE LA HISTORIA","4"
"TALLER DE ESCRITURA CIENTIFICA","5"
"TALLER DE EVALUACIÓN DEL APRENDIZAJE","2"
"TALLER DE FORMULACION DE PROYECTOS EN PSICOLOGÍA","1"
"TALLER DE FOTOGRAFÍA ESPECIALIZADA","2"
"TALLER DE GEOMÁTICA I","2"
"TALLER DE GESTIÓN CULTURAL","1"
"TALLER DE GRAMATICA INGLESA I (BASÍCO E INTERMEDIO)","1"
"TALLER DE GUIÓN AUDIOVISUAL I","2"
"TALLER DE GUIÓN AUDIOVISUAL II","1"
"TALLER DE GUIONES CINEMATOGRÁFICOS","1"
"TALLER DE HABILIDADES GERENCIALES","9"
"TALLER DE HABILIDADES SOCIALES","2"
"TALLER DE IMAGEN","5"
"TALLER DE INFOGRAFÍA","2"
"TALLER DE INFOGRAFIA PARA DIVERSOS SOPORTES DE COMUNICACIÓN","7"
"TALLER DE INFORMÁTICA PARA HISTORIADORES","2"
"TALLER DE INTEGRACION CONTABLE","15"
"TALLER DE INVESTIGACIÓN - ACCIÓN EN LA EDUCACIÓN PRIMARIA","1"
"TALLER DE INVESTIGACIÓN EN EDUCACIÓN FÍSICA","8"
"TALLER DE INVESTIGACIÓN I","1"
"TALLER DE INVESTIGACIÓN II","3"
"TALLER DE INVESTIGACIÓN SOCIOLÓGICA I","12"
"TALLER DE INVESTIGACIÓN SOCIOLÓGICA II","14"
"TALLER DE INVESTIGACIÓN SOCIOLÓGICA III","7"
"TALLER DE INVESTIGACIÓN SOCIOLÓGICA IV (TESIS)","4"
"TALLER DE INVESTIGACIÓN Y PREPARACIÓN DE TESIS I","1"
"TALLER DE LOCUCIÓN Y ORATORIA","2"
"TALLER DE MATERIAL DIDÁCTICO PARA LA ENSEÑANZA DE LA HISTORIA, LA GEOGRAFÍA Y LA ECONOMÍA","1"
"TALLER DE MATERIALES Y ORGANIZACIÓN DE SECTORES","3"
"TALLER DE METODOLOGÍA I","2"
"TALLER DE METODOLOGÍA II","10"
"TALLER DE MUSICA","11"
"TALLER DE NARRACION I","6"
"TALLER DE NARRACION II","7"
"TALLER DE NARRATIVA Y EDICIÓN AUDIOVISUAL","1"
"TALLER DE ORDENAMIENTO TERRITORIAL","4"
"TALLER DE ORDENAMIENTO Y DEMARCACIÓN TERRITORIAL","3"
"TALLER DE ORGANIZACIÓN DE LA INFORMACIÓN I","4"
"TALLER DE ORGANIZACIÓN DE LA INFORMACIÓN III","1"
"TALLER DE PERIODISMO INFORMATIVO","5"
"TALLER DE PERIODISMO INTERPRETATIVO","4"
"TALLER DE PLAN CONTABLE GENERAL","2"
"TALLER DE PLANIFICACIÓN FÍSICA Y RECURSOS NATURALES","2"
"TALLER DE PLANIFICACIÓN URBANA","10"
"TALLER DE PLANOS DE OBRA","4"
"TALLER DE PRODUCCION RADIAL I","3"
"TALLER DE PRODUCCION RADIAL II","2"
"TALLER DE PROYECTOS I","1"
"TALLER DE PROYECTOS II","6"
"TALLER DE RECURSOS Y MATERIALES DIDACTICOS PARA LA ENSEÑANZA DE LAS CIENCIAS HISTORICO SOCIALES","1"
"TALLER DE REDACCIÓN","1"
"TALLER DE REDACCIÓN DE PROYECTOS I","7"
"TALLER DE REDACCIÓN DE PROYECTOS II","9"
"TALLER DE RESTAURACIÓN DOCUMENTAL","4"
"TALLER DE RESTAURACIÓN I: CERÁMICA","5"
"TALLER DE RESTAURACIÓN II: TEXTILES","1"
"TALLER DE SISTEMATIZACIÓN DEL TRABAJO DE CAMPO","3"
"TALLER DE SONIDO","1"
"TALLER DE TEATRO Y GUIONES LITERARIOS I","7"
"TALLER DE TEORÍA I","6"
"TALLER DE TEORÍA II","8"
"TALLER DE TESIS EN  TERAPIA FÍSICA  Y REHABILITACIÓN","1"
"TALLER DE TESIS EN LABORATORIO CLÍNICO","3"
"TALLER DE TESIS EN TERAPIA OCUPACIONAL","2"
"TALLER DE TESIS I","66"
"TALLER DE TESIS I (PROYECTO DE INVESTIGACIÓN)","19"
"TALLER DE TESIS II","54"
"TALLER DE TESIS II (DISEÑO Y APLICACIÓN DE INSTRUMENTOS)","12"
"TALLER DE TESIS III","24"
"TALLER DE TESIS III (ANÁLISIS, INTERPRETACIÓN Y REDACCIÓN)","12"
"TALLER DE TESIS IV","1"
"TALLER DE TESIS IV (REDACCIÓN DE LA TESIS)","2"
"TALLER DE TOPOGRAFÍA APLICADA A LA ARQUEOLOGÍA","1"
"TALLER DE TRADICION ORAL I","1"
"TALLER EDITORIAL I","8"
"TALLER EDITORIAL Y PUBLICACIONES ELECTRÓNICAS","1"
"TALLER GESTIÓN CULTURAL","1"
"TALLER II","1"
"TALLER TESIS I","9"
"TEATRO","1"
"TEATRO I","3"
"TÉCNICAS ARTÍSTICAS","3"
"TÉCNICAS DE COMUNICACIÓN GRUPAL","1"
"TÉCNICAS DE DIAGNÓSTICO VETERINARIO I","4"
